#Row, Col, Type, x, y
0,0,0,332.818,486.077
0,1,0,355.421,473.227
0,2,0,378.231,460.338
0,3,1,401.234,447.417
0,4,0,424.416,434.471
0,5,0,447.764,421.506
0,6,0,471.264,408.530
0,7,1,494.902,395.549
0,8,1,518.667,382.568
0,9,1,542.543,369.595
0,10,0,566.520,356.635
0,11,1,590.584,343.695
0,12,1,614.722,330.781
0,13,0,638.923,317.899
0,14,1,663.173,305.054
0,15,0,687.461,292.253
0,16,1,711.775,279.502
0,17,0,736.103,266.806
0,18,0,760.433,254.171
0,19,0,784.753,241.602
0,20,1,809.053,229.105
0,21,1,833.321,216.686
0,22,0,857.546,204.349
0,23,0,881.717,192.101
0,24,0,905.822,179.946
0,25,1,929.852,167.890
0,26,0,953.795,155.937
0,27,0,977.641,144.094
0,28,1,1001.380,132.364
0,29,0,1025.001,120.753
0,30,0,1048.494,109.266
1,0,0,349.052,495.987
1,1,1,371.989,483.019
1,2,1,395.131,470.011
1,3,0,418.461,456.971
1,4,0,441.967,443.906
1,5,0,465.634,430.821
1,6,0,489.448,417.725
1,7,1,513.397,404.624
1,8,0,537.466,391.524
1,9,0,561.642,378.432
1,10,0,585.912,365.354
1,11,0,610.264,352.296
1,12,1,634.684,339.265
1,13,1,659.160,326.267
1,14,1,683.679,313.309
1,15,0,708.229,300.395
1,16,0,732.797,287.532
1,17,0,757.373,274.725
1,18,0,781.942,261.982
1,19,0,806.495,249.307
1,20,0,831.019,236.705
1,21,1,855.502,224.184
1,22,1,879.934,211.748
1,23,1,904.303,199.402
1,24,1,928.598,187.152
1,25,0,952.808,175.004
1,26,1,976.923,162.962
1,27,0,1000.930,151.032
1,28,0,1024.821,139.218
1,29,1,1048.584,127.527
1,30,0,1072.209,115.963
2,0,1,342.658,519.167
2,1,0,365.719,506.125
2,2,1,388.994,493.036
2,3,1,412.469,479.908
2,4,1,436.130,466.746
2,5,1,459.961,453.559
2,6,1,483.949,440.353
2,7,1,508.080,427.134
2,8,1,532.340,413.911
2,9,0,556.715,400.689
2,10,1,581.192,387.476
2,11,0,605.757,374.277
2,12,1,630.397,361.099
2,13,1,655.099,347.950
2,14,0,679.850,334.834
2,15,0,704.637,321.758
2,16,0,729.448,308.729
2,17,1,754.270,295.752
2,18,1,779.090,282.834
2,19,1,803.898,269.980
2,20,0,828.680,257.197
2,21,1,853.425,244.489
2,22,1,878.121,231.864
2,23,1,902.757,219.326
2,24,1,927.321,206.881
2,25,1,951.801,194.535
2,26,0,976.187,182.293
2,27,0,1000.467,170.160
2,28,0,1024.631,158.143
2,29,0,1048.668,146.245
2,30,0,1072.567,134.472
3,0,0,359.423,529.658
3,1,1,382.828,516.495
3,2,0,406.444,503.284
3,3,1,430.256,490.032
3,4,1,454.249,476.746
3,5,1,478.408,463.434
3,6,1,502.720,450.103
3,7,0,527.169,436.761
3,8,0,551.742,423.413
3,9,0,576.424,410.067
3,10,0,601.202,396.730
3,11,0,626.062,383.408
3,12,0,650.990,370.108
3,13,1,675.974,356.837
3,14,0,700.999,343.601
3,15,1,726.053,330.406
3,16,0,751.124,317.260
3,17,1,776.198,304.167
3,18,1,801.262,291.135
3,19,0,826.305,278.169
3,20,0,851.314,265.275
3,21,0,876.278,252.460
3,22,0,901.183,239.729
3,23,0,926.018,227.088
3,24,0,950.772,214.542
3,25,0,975.433,202.098
3,26,0,999.990,189.761
3,27,1,1024.431,177.537
3,28,1,1048.745,165.430
3,29,0,1072.922,153.446
3,30,0,1096.950,141.592
4,0,1,353.109,553.619
4,1,1,376.638,540.388
4,2,0,400.390,527.101
4,3,0,424.349,513.765
4,4,1,448.501,500.387
4,5,1,472.829,486.975
4,6,1,497.318,473.536
4,7,0,521.955,460.078
4,8,1,546.724,446.608
4,9,0,571.610,433.134
4,10,1,596.600,419.661
4,11,0,621.680,406.197
4,12,1,646.835,392.750
4,13,0,672.052,379.326
4,14,1,697.316,365.931
4,15,1,722.615,352.572
4,16,1,747.936,339.256
4,17,0,773.264,325.990
4,18,1,798.588,312.780
4,19,0,823.894,299.631
4,20,0,849.170,286.551
4,21,1,874.403,273.545
4,22,1,899.581,260.620
4,23,1,924.691,247.782
4,24,1,949.722,235.036
4,25,1,974.662,222.388
4,26,0,999.498,209.845
4,27,1,1024.220,197.411
4,28,0,1048.816,185.093
4,29,1,1073.274,172.897
4,30,0,1097.584,160.826
5,0,1,370.429,564.717
5,1,1,394.312,551.362
5,2,1,418.415,537.948
5,3,1,442.720,524.484
5,4,0,467.213,510.978
5,5,0,491.878,497.437
5,6,1,516.700,483.869
5,7,0,541.663,470.281
5,8,0,566.753,456.681
5,9,0,591.954,443.077
5,10,0,617.253,429.475
5,11,0,642.635,415.883
5,12,0,668.085,402.307
5,13,1,693.589,388.756
5,14,1,719.134,375.235
5,15,0,744.706,361.751
5,16,0,770.291,348.312
5,17,1,795.875,334.924
5,18,1,821.447,321.593
5,19,1,846.991,308.326
5,20,0,872.497,295.130
5,21,1,897.950,282.010
5,22,1,923.338,268.973
5,23,1,948.650,256.026
5,24,1,973.871,243.173
5,25,0,998.991,230.422
5,26,0,1023.998,217.778
5,27,1,1048.879,205.246
5,28,1,1073.623,192.834
5,29,0,1098.218,180.546
5,30,0,1122.653,168.388
6,0,0,364.207,589.482
6,1,1,388.216,576.066
6,2,0,412.456,562.583
6,3,0,436.912,549.040
6,4,0,461.566,535.446
6,5,1,486.403,521.809
6,6,0,511.407,508.136
6,7,1,536.562,494.436
6,8,1,561.854,480.716
6,9,0,587.265,466.984
6,10,1,612.783,453.247
6,11,0,638.390,439.513
6,12,1,664.074,425.790
6,13,1,689.818,412.084
6,14,1,715.610,398.402
6,15,0,741.434,384.753
6,16,1,767.277,371.142
6,17,1,793.124,357.577
6,18,1,818.963,344.064
6,19,0,844.779,330.611
6,20,1,870.559,317.224
6,21,0,896.291,303.909
6,22,1,921.960,290.673
6,23,1,947.555,277.523
6,24,1,973.062,264.464
6,25,0,998.469,251.503
6,26,0,1023.764,238.646
6,27,0,1048.934,225.899
6,28,0,1073.968,213.269
6,29,0,1098.852,200.760
6,30,0,1123.577,188.380
7,0,1,382.107,601.214
7,1,1,406.480,587.669
7,2,0,431.080,574.056
7,3,0,455.891,560.381
7,4,0,480.897,546.654
7,5,0,506.080,532.883
7,6,1,531.425,519.076
7,7,1,556.916,505.241
7,8,0,582.536,491.386
7,9,0,608.270,477.519
7,10,0,634.104,463.647
7,11,0,660.020,449.779
7,12,1,686.005,435.921
7,13,0,712.044,422.082
7,14,1,738.122,408.268
7,15,0,764.223,394.488
7,16,1,790.335,380.747
7,17,0,816.443,367.054
7,18,1,842.533,353.414
7,19,1,868.591,339.836
7,20,0,894.603,326.326
7,21,1,920.556,312.891
7,22,0,946.438,299.537
7,23,0,972.234,286.271
7,24,1,997.931,273.099
7,25,1,1023.518,260.028
7,26,1,1048.981,247.064
7,27,0,1074.308,234.213
7,28,0,1099.486,221.482
7,29,1,1124.505,208.876
7,30,1,1149.350,196.402
8,0,0,375.992,626.804
8,1,1,400.491,613.207
8,2,1,425.230,599.531
8,3,0,450.194,585.785
8,4,0,475.364,571.976
8,5,1,500.723,558.113
8,6,1,526.254,544.205
8,7,1,551.942,530.261
8,8,0,577.769,516.288
8,9,0,603.719,502.295
8,10,1,629.777,488.290
8,11,0,655.926,474.281
8,12,0,682.151,460.275
8,13,0,708.438,446.281
8,14,0,734.769,432.306
8,15,1,761.131,418.357
8,16,0,787.509,404.443
8,17,0,813.887,390.570
8,18,0,840.253,376.745
8,19,0,866.590,362.977
8,20,0,892.886,349.272
8,21,1,919.126,335.637
8,22,0,945.297,322.079
8,23,1,971.385,308.604
8,24,0,997.377,295.220
8,25,0,1023.259,281.934
8,26,0,1049.019,268.751
8,27,1,1074.643,255.678
8,28,0,1100.120,242.721
8,29,1,1125.435,229.888
8,30,0,1150.578,217.184
9,0,0,394.496,639.195
9,1,1,419.369,625.466
9,2,1,444.479,611.656
9,3,0,469.808,597.774
9,4,1,495.339,583.827
9,5,0,521.053,569.826
9,6,1,546.935,555.779
9,7,0,572.966,541.695
9,8,0,599.130,527.582
9,9,1,625.411,513.448
9,10,1,651.793,499.302
9,11,0,678.258,485.152
9,12,1,704.791,471.006
9,13,0,731.377,456.872
9,14,0,758.001,442.758
9,15,1,784.645,428.672
9,16,1,811.296,414.621
9,17,0,837.939,400.613
9,18,1,864.559,386.655
9,19,1,891.141,372.756
9,20,1,917.670,358.921
9,21,0,944.134,345.158
9,22,1,970.517,331.475
9,23,1,996.806,317.878
9,24,1,1022.987,304.375
9,25,1,1049.048,290.971
9,26,0,1074.973,277.674
9,27,1,1100.751,264.491
9,28,1,1126.369,251.427
9,29,0,1151.813,238.490
9,30,1,1177.071,225.686
10,0,1,388.504,665.629
10,1,0,413.503,651.859
10,2,1,438.754,637.995
10,3,1,464.237,624.048
10,4,1,489.934,610.027
10,5,0,515.827,595.940
10,6,0,541.899,581.798
10,7,0,568.132,567.609
10,8,0,594.508,553.381
10,9,1,621.010,539.124
10,10,1,647.622,524.847
10,11,1,674.326,510.557
10,12,1,701.107,496.264
10,13,1,727.948,481.975
10,14,0,754.833,467.698
10,15,0,781.745,453.443
10,16,0,808.670,439.216
10,17,1,835.592,425.026
10,18,1,862.496,410.880
10,19,0,889.366,396.787
10,20,0,916.188,382.753
10,21,0,942.947,368.786
10,22,1,969.628,354.893
10,23,1,996.218,341.083
10,24,0,1022.702,327.361
10,25,0,1049.066,313.736
10,26,1,1075.297,300.213
10,27,0,1101.381,286.801
10,28,0,1127.304,273.505
10,29,0,1153.054,260.332
10,30,1,1178.617,247.290
11,0,0,407.639,678.705
11,1,1,433.023,664.799
11,2,0,458.654,650.797
11,3,1,484.513,636.711
11,4,1,510.580,622.548
11,5,1,536.839,608.318
11,6,0,563.269,594.031
11,7,1,589.854,579.697
11,8,0,616.576,565.323
11,9,0,643.417,550.920
11,10,0,670.359,536.496
11,11,1,697.387,522.059
11,12,0,724.482,507.619
11,13,0,751.628,493.184
11,14,1,778.810,478.762
11,15,0,806.010,464.362
11,16,1,833.212,449.992
11,17,1,860.402,435.660
11,18,1,887.562,421.374
11,19,0,914.679,407.141
11,20,0,941.736,392.971
11,21,0,968.719,378.869
11,22,0,995.612,364.844
11,23,1,1022.402,350.904
11,24,0,1049.074,337.056
11,25,1,1075.614,323.306
11,26,0,1102.007,309.663
11,27,0,1128.241,296.133
11,28,0,1154.300,282.723
11,29,0,1180.172,269.440
11,30,0,1205.844,256.291
12,0,0,401.786,706.000
12,1,0,427.296,692.063
12,2,1,453.068,678.019
12,3,1,479.082,663.877
12,4,0,505.318,649.648
12,5,1,531.758,635.340
12,6,0,558.383,620.965
12,7,0,585.173,606.530
12,8,0,612.112,592.047
12,9,0,639.179,577.525
12,10,0,666.358,562.972
12,11,1,693.631,548.398
12,12,1,720.981,533.811
12,13,0,748.389,519.221
12,14,0,775.840,504.637
12,15,0,803.315,490.067
12,16,0,830.800,475.519
12,17,0,858.277,461.003
12,18,0,885.730,446.526
12,19,0,913.143,432.096
12,20,1,940.501,417.722
12,21,1,967.788,403.412
12,22,0,994.989,389.173
12,23,1,1022.088,375.014
12,24,0,1049.071,360.942
12,25,0,1075.924,346.964
12,26,1,1102.631,333.088
12,27,1,1129.178,319.322
12,28,1,1155.551,305.672
12,29,1,1181.737,292.146
12,30,0,1207.721,278.751
13,0,1,421.580,719.783
13,1,1,447.485,705.709
13,2,1,473.647,691.524
13,3,1,500.046,677.238
13,4,1,526.663,662.863
13,5,1,553.477,648.408
13,6,1,580.470,633.883
13,7,0,607.621,619.298
13,8,1,634.913,604.664
13,9,1,662.327,589.989
13,10,0,689.844,575.283
13,11,0,717.446,560.555
13,12,0,745.116,545.816
13,13,1,772.836,531.073
13,14,0,800.588,516.337
13,15,1,828.355,501.615
13,16,0,856.121,486.917
13,17,0,883.868,472.251
13,18,0,911.581,457.626
13,19,0,939.242,443.050
13,20,1,966.836,428.531
13,21,0,994.346,414.079
13,22,0,1021.758,399.701
13,23,1,1049.056,385.404
13,24,1,1076.225,371.197
13,25,1,1103.249,357.088
13,26,1,1130.115,343.083
13,27,1,1156.806,329.192
13,28,1,1183.309,315.421
13,29,0,1209.610,301.777
13,30,1,1235.695,288.268
14,0,0,415.883,747.951
14,1,0,441.913,733.860
14,2,1,468.217,719.644
14,3,1,494.772,705.315
14,4,0,521.559,690.883
14,5,1,548.558,676.359
14,6,0,575.747,661.753
14,7,1,603.109,647.076
14,8,1,630.622,632.338
14,9,0,658.268,617.548
14,10,1,686.027,602.718
14,11,1,713.881,587.856
14,12,1,741.812,572.972
14,13,1,769.800,558.076
14,14,1,797.829,543.177
14,15,1,825.880,528.285
14,16,1,853.936,513.408
14,17,0,881.978,498.556
14,18,0,909.992,483.738
14,19,0,937.958,468.962
14,20,0,965.861,454.237
14,21,0,993.685,439.571
14,22,0,1021.413,424.974
14,23,0,1049.029,410.453
14,24,0,1076.517,396.016
14,25,0,1103.863,381.672
14,26,1,1131.050,367.429
14,27,1,1158.064,353.294
14,28,1,1184.889,339.275
14,29,0,1211.511,325.380
14,30,1,1237.915,311.617
15,0,0,436.363,762.465
15,1,1,462.799,748.233
15,2,0,489.502,733.874
15,3,1,516.453,719.397
15,4,1,543.630,704.816
15,5,1,571.012,690.140
15,6,1,598.578,675.380
15,7,1,626.309,660.547
15,8,1,654.184,645.652
15,9,1,682.183,630.704
15,10,1,710.287,615.715
15,11,1,738.478,600.693
15,12,1,766.735,585.650
15,13,0,795.040,570.594
15,14,1,823.375,555.535
15,15,0,851.721,540.484
15,16,0,880.061,525.449
15,17,1,908.376,510.440
15,18,1,936.650,495.466
15,19,1,964.865,480.536
15,20,0,993.004,465.659
15,21,1,1021.051,450.843
15,22,1,1048.988,436.098
15,23,0,1076.800,421.431
15,24,0,1104.470,406.852
15,25,1,1131.983,392.368
15,26,0,1159.323,377.988
15,27,0,1186.474,363.721
15,28,1,1213.421,349.572
15,29,0,1240.150,335.552
15,30,1,1266.645,321.667
16,0,0,430.844,791.512
16,1,0,457.402,777.280
16,2,1,484.246,762.905
16,3,1,511.353,748.399
16,4,1,538.701,733.773
16,5,0,566.269,719.039
16,6,1,594.036,704.208
16,7,0,621.979,689.291
16,8,0,650.080,674.299
16,9,1,678.316,659.243
16,10,0,706.668,644.134
16,11,0,735.116,628.982
16,12,0,763.640,613.797
16,13,1,792.221,598.590
16,14,1,820.840,583.371
16,15,1,849.477,568.150
16,16,0,878.115,552.936
16,17,0,906.735,537.740
16,18,1,935.318,522.570
16,19,1,963.847,507.437
16,20,0,992.304,492.350
16,21,0,1020.672,477.317
16,22,1,1048.933,462.348
16,23,0,1077.072,447.452
16,24,1,1105.070,432.637
16,25,0,1132.912,417.913
16,26,1,1160.582,403.287
16,27,0,1188.063,388.768
16,28,1,1215.340,374.365
16,29,0,1242.398,360.085
16,30,1,1269.220,345.937
17,0,1,452.037,806.775
17,1,1,479.011,792.401
17,2,1,506.266,777.879
17,3,0,533.778,763.223
17,4,1,561.525,748.444
17,5,1,589.486,733.554
17,6,1,617.638,718.565
17,7,0,645.959,703.487
17,8,1,674.429,688.333
17,9,1,703.026,673.113
17,10,0,731.730,657.839
17,11,0,760.520,642.520
17,12,1,789.376,627.169
17,13,1,818.278,611.795
17,14,0,847.207,596.409
17,15,0,876.143,581.022
17,16,1,905.067,565.642
17,17,1,933.961,550.281
17,18,0,962.805,534.948
17,19,1,991.583,519.652
17,20,1,1020.275,504.404
17,21,1,1048.863,489.213
17,22,1,1077.332,474.087
17,23,0,1105.662,459.037
17,24,0,1133.837,444.071
17,25,1,1161.841,429.199
17,26,0,1189.656,414.428
17,27,0,1217.267,399.768
17,28,1,1244.657,385.227
17,29,0,1271.810,370.814
17,30,1,1298.711,356.536
18,0,1,446.715,836.703
18,1,1,473.809,822.347
18,2,0,501.201,807.828
18,3,1,528.869,793.157
18,4,1,556.788,778.348
18,5,1,584.936,763.413
18,6,0,613.290,748.364
18,7,0,641.828,733.213
18,8,0,670.527,717.971
18,9,0,699.365,702.651
18,10,0,728.322,687.264
18,11,1,757.375,671.820
18,12,0,786.505,656.332
18,13,0,815.689,640.811
18,14,1,844.909,625.266
18,15,0,874.144,609.710
18,16,0,903.374,594.152
18,17,1,932.579,578.603
18,18,1,961.741,563.073
18,19,1,990.841,547.573
18,20,1,1019.859,532.112
18,21,1,1048.778,516.700
18,22,0,1077.579,501.346
18,23,0,1106.244,486.061
18,24,0,1134.755,470.854
18,25,0,1163.097,455.734
18,26,1,1191.250,440.711
18,27,1,1219.198,425.793
18,28,1,1246.925,410.988
18,29,0,1274.414,396.307
18,30,1,1301.649,381.758
19,0,0,468.650,852.729
19,1,1,496.170,838.230
19,2,1,523.983,823.563
19,3,1,552.066,808.741
19,4,0,580.394,793.776
19,5,1,608.943,778.681
19,6,0,637.691,763.470
19,7,1,666.614,748.153
19,8,0,695.689,732.744
19,9,0,724.895,717.254
19,10,0,754.210,701.695
19,11,0,783.611,686.080
19,12,0,813.077,670.418
19,13,1,842.587,654.723
19,14,0,872.120,639.004
19,15,1,901.655,623.274
19,16,1,931.174,607.542
19,17,0,960.654,591.820
19,18,1,990.077,576.118
19,19,0,1019.424,560.446
19,20,0,1048.675,544.816
19,21,1,1077.811,529.236
19,22,0,1106.814,513.718
19,23,1,1135.666,498.270
19,24,1,1164.348,482.903
19,25,1,1192.843,467.626
19,26,1,1221.133,452.449
19,27,1,1249.201,437.380
19,28,1,1277.029,422.429
19,29,0,1304.602,407.606
19,30,0,1331.903,392.918
20,0,1,463.548,883.529
20,1,0,491.183,869.071
20,2,0,519.131,854.426
20,3,1,547.367,839.608
20,4,0,575.866,824.631
20,5,0,604.603,809.507
20,6,1,633.554,794.250
20,7,1,662.695,778.872
20,8,1,692.003,763.387
20,9,0,721.455,747.806
20,10,0,751.027,732.143
20,11,1,780.696,716.409
20,12,0,810.441,700.617
20,13,1,840.240,684.779
20,14,0,870.071,668.905
20,15,1,899.913,653.009
20,16,0,929.744,637.100
20,17,0,959.544,621.190
20,18,0,989.292,605.291
20,19,0,1018.969,589.413
20,20,1,1048.555,573.567
20,21,0,1078.029,557.764
20,22,1,1107.373,542.014
20,23,1,1136.567,526.326
20,24,0,1165.594,510.713
20,25,0,1194.434,495.182
20,26,1,1223.069,479.745
20,27,1,1251.482,464.411
20,28,1,1279.654,449.189
20,29,1,1307.569,434.089
20,30,1,1335.209,419.121
21,0,1,486.253,900.329
21,1,1,514.324,885.728
21,2,0,542.702,870.935
21,3,0,571.362,855.963
21,4,0,600.278,840.828
21,5,0,629.425,825.541
21,6,0,658.778,810.118
21,7,1,688.313,794.571
21,8,1,718.004,778.913
21,9,0,747.830,763.158
21,10,1,777.765,747.318
21,11,1,807.787,731.405
21,12,1,837.872,715.433
21,13,0,868.000,699.413
21,14,1,898.146,683.358
21,15,0,928.290,667.279
21,16,1,958.410,651.188
21,17,0,988.485,635.097
21,18,1,1018.494,619.017
21,19,1,1048.415,602.960
21,20,1,1078.230,586.935
